Date,Close_F,High_F,Low_F,Open_F,Volume_F
2007-01-03,3.9598217010498047,4.0441853293637635,3.922912487950726,3.9861852091861945,78652200
2007-01-04,4.060003280639648,4.070548733910526,3.9176395357710745,3.986185107743501,63454900
2007-01-05,4.017821311950684,4.086366881268422,3.991457805506235,4.07054857626301,40562100
2007-01-08,4.0758209228515625,4.086366374405997,4.0178208135904745,4.02309366507939,48938500
2007-01-09,4.107458114624023,4.144367328298423,4.075821753513159,4.08636720721678,56732200
2007-01-10,4.0758209228515625,4.1074572775148654,4.0441845681882596,4.1074572775148654,42397100
2007-01-11,4.096912384033203,4.11273068923129,4.049457719862375,4.075821478051376,40020800
2007-01-12,4.160183429718018,4.176001728557654,4.091638138541808,4.096910737206133,57053800
2007-01-16,4.186548709869385,4.223457919724248,4.149639500014522,4.160184952626851,66699800
2007-01-17,4.2392754554748535,4.270912060873623,4.202366250125217,4.202366250125217,63728700
2007-01-18,4.313093662261963,4.3447297633182735,4.249820957302581,4.249820957302581,78367600
2007-01-19,4.376367092132568,4.3869122932824824,4.307821524694174,4.344730482989139,66023300
2007-01-22,4.434367656707764,4.44491336237194,4.350004022782044,4.392185839744903,53554600
2007-01-23,4.376367092132568,4.545094333305943,4.344730482989139,4.42382175442429,116406900
2007-01-24,4.323639869689941,4.402731146463787,4.27618520419501,4.38164023989347,76821900
2007-01-25,4.334184646606445,4.492366663446213,4.218184433877712,4.2972751908742115,99688700
2007-01-26,4.439639568328857,4.471275672920633,4.292003240257995,4.297275589125413,54421900
2007-01-29,4.413276672363281,4.487095102202828,4.402731469727296,4.450185635859597,55791000
2007-01-30,4.323639869689941,4.439640107250122,4.318367017335643,4.418549200679806,28763200
2007-01-31,4.2867302894592285,4.323639244912117,4.239275630821626,4.3078211929818515,65038600
2007-02-01,4.371095657348633,4.376368511056597,4.28673200940922,4.307822921394073,27922600
2007-02-02,4.339457988739014,4.37109460049059,4.302549027401246,4.37109460049059,24730000
2007-02-05,4.392185211181641,4.418548968722256,4.318366790637289,4.323639642714782,27387700
2007-02-06,4.5029120445251465,4.508184895963223,4.3763666270920565,4.392184678559495,44746900
2007-02-07,4.513460636138916,4.555642468947466,4.460733093704672,4.513460636138916,32595800
2007-02-08,4.508186340332031,4.518731543739951,4.476549724414372,4.4818225775418075,23819700
2007-02-09,4.603094577789307,4.729640521991587,4.582003670896741,4.6505492440093015,108536600
2007-02-12,4.560912132263184,4.613639643614649,4.481821368082802,4.597821591347936,33682800
2007-02-13,4.455458641052246,4.48182240281466,4.408003970449288,4.48182240281466,59691800
