Ticker,Price,Change_Percent,Open_Volume,Put_Percent,Call_Percent,PC_Ratio,Next_Earning,Open_Volume_Priced,Open_Volume_Priced_ranked
TSLR,19.76,-0.9,408,50.25,49.75,1.01,,8062.080000000001,0.065
SVOL,18.07,2.9,446,34.53,65.47,0.53,,8059.22,0.06
SJB,15.65,-0.03,485,98.56,1.44,68.29,,7590.25,0.055
ULTY,6.28,0.08,1133,72.37,27.63,2.62,,7115.240000000001,0.05
MSTZ,4.4,-4.77,1413,37.58,62.42,0.6,,6217.200000000001,0.045
NVD,12.6,-3.96,489,21.88,78.12,0.28,,6161.4,0.04
TSLS,7.67,0.52,642,46.88,53.12,0.88,,4924.14,0.035
FAZ,4.47,-1.65,1003,9.27,90.73,0.1,,4483.41,0.03
CONI,2.35,10.85,1663,2.47,97.53,0.03,,3908.05,0.025
AMDY,8.24,0.12,425,60.94,39.06,1.56,,3502.0,0.02
LABD,7.27,0.14,357,24.93,75.07,0.33,,2595.39,0.015
WEAT,4.47,0.45,568,13.56,86.44,0.16,,2538.96,0.01
TSLZ,1.58,0.32,1004,1.79,98.21,0.02,,1586.3200000000002,0.005
