Ticker,Price,Change_Percent,Open_Volume,Put_Percent,Call_Percent,PC_Ratio,Next_Earning,Open_Volume_Priced,Open_Volume_Priced_ranked
AEO,9.87,2.55,3388,31.88,68.12,0.47,2025-08-28,33439.56,0.07
MVST,4.08,4.08,7036,13.77,86.23,0.16,2025-08-07,28706.88,0.068
COMP,6.32,0.08,4318,0.53,99.47,0.0,2025-08-11,27289.760000000002,0.066
NEO,7.29,1.75,3492,0.77,99.23,0.0,2025-07-30,25456.68,0.064
DNN,1.82,-1.36,13939,0.5,99.5,0.01,2025-08-07,25368.98,0.062
NOK,5.16,-0.1,4896,50.37,49.63,1.01,2025-07-24,25263.36,0.06
PSQH,2.08,1.96,12129,21.63,78.37,0.28,2025-08-06,25228.32,0.058
RIG,2.62,-0.38,9283,14.82,85.18,0.17,2025-08-04,24321.460000000003,0.056
SPCE,2.94,-0.68,7227,12.65,87.35,0.14,2025-07-31,21247.38,0.054
SLS,1.89,-6.9,10660,1.42,98.58,0.01,2025-08-07,20147.399999999998,0.052
INVZ,1.47,-3.29,13304,7.01,92.99,0.08,2025-08-06,19556.88,0.05
ACB,4.23,-0.82,4621,47.07,52.93,0.89,2025-08-07,19546.83,0.048
EXK,4.8,-2.44,3950,10.38,89.62,0.12,2025-08-12,18960.0,0.046
RZLV,2.7,-8.47,6894,13.43,86.57,0.16,,18613.800000000003,0.044
LAZR,3.01,2.03,5662,3.39,96.61,0.04,2025-08-12,17042.62,0.042
ASST,3.97,-0.5,4119,29.89,70.11,0.43,,16352.43,0.04
IQ,1.78,0.0,8824,72.59,27.41,2.65,2025-08-20,15706.72,0.038
AMPX,4.23,-1.05,3536,10.41,89.59,0.12,2025-08-07,14957.28,0.036
CLOV,2.75,-1.61,5354,9.25,90.75,0.1,2025-08-11,14723.5,0.034
SLDP,2.19,-3.95,6528,23.7,76.3,0.31,2025-08-12,14296.32,0.032
NAK,1.52,-1.62,9376,14.05,85.95,0.16,2025-08-19,14251.52,0.03
JMIA,3.48,3.26,3613,33.63,66.37,0.51,2025-08-12,12573.24,0.028
RILY,3.04,1.67,4050,20.25,79.75,0.25,2025-07-24,12312.0,0.026
TLRY,0.41,-0.39,28319,55.66,44.34,1.26,2025-07-23,11610.789999999999,0.024
IRBT,3.45,4.23,3241,33.79,66.21,0.51,2025-07-23,11181.45,0.022
LPSN,0.94,-3.12,10647,9.02,90.98,0.1,2025-08-12,10008.18,0.02
ARBE,1.81,-6.22,5402,3.05,96.95,0.03,2025-08-06,9777.62,0.018
QSI,2.0,-2.44,4023,17.03,82.97,0.21,2025-08-11,8046.0,0.016
HIVE,1.8,0.28,3921,3.03,96.97,0.03,2025-08-19,7057.8,0.014
IOVA,1.73,-0.57,4034,20.7,79.3,0.26,2025-08-07,6978.82,0.012
CGC,1.25,0.81,4456,20.6,79.4,0.26,2025-08-08,5570.0,0.01
OPEN,0.58,8.64,7367,20.56,79.44,0.26,2025-07-31,4272.86,0.008
CHPT,0.78,3.75,4008,8.48,91.52,0.09,2025-08-27,3126.2400000000002,0.006
BITF,0.78,-1.51,3645,6.53,93.47,0.07,2025-08-18,2843.1,0.004
CAN,0.61,-0.18,3684,23.81,76.19,0.31,2025-08-14,2247.24,0.002
